,Data 1: Weekly Working Gas in Underground Storage,,,,,,,
Sourcekey,NW2_EPG0_SWO_R48_BCF,NW2_EPG0_SWO_R31_BCF,NW2_EPG0_SWO_R32_BCF,NW2_EPG0_SWO_R34_BCF,NW2_EPG0_SWO_R35_BCF,NW2_EPG0_SWO_R33_BCF,NW2_EPG0_SSO_R33_BCF,NW2_EPG0_SNO_R33_BCF
Date,Weekly Lower 48 States Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly East Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Midwest Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Mountain Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Pacific Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly South Central  Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Salt South Central Region Natural Gas Working Underground Storage (Billion Cubic Feet),Weekly Nonsalt South Central Region Natural Gas Working Underground Storage (Billion Cubic Feet)
19-Nov-21,3623,889,1066,210,262,1197,338,859
26-Nov-21,3564,867,1043,206,263,1185,335,851
3-Dec-21,3505,843,1019,206,266,1171,328,842
10-Dec-21,3417,818,982,199,261,1158,328,829
17-Dec-21,3362,809,963,188,247,1155,334,820
24-Dec-21,3226,777,918,180,235,1116,326,790
31-Dec-21,3195,767,893,172,219,1143,347,796
7-Jan-22,3016,730,835,159,204,1088,330,759
14-Jan-22,2810,669,770,151,201,1019,308,711
21-Jan-22,2591,609,701,143,201,938,279,658
28-Jan-22,2323,541,616,133,196,837,231,606
4-Feb-22,2101,485,552,121,181,763,207,556
11-Feb-22,1911,435,496,114,177,689,173,516
18-Feb-22,1782,396,450,105,176,655,168,487
25-Feb-22,1643,358,404,96,164,620,163,457
4-Mar-22,1519,317,364,93,162,582,151,431
11-Mar-22,1440,290,337,87,155,571,159,412
18-Mar-22,1389,268,318,87,157,559,156,404
25-Mar-22,1415,268,317,89,161,581,169,412
1-Apr-22,1382,241,296,91,165,589,173,416
8-Apr-22,1397,229,293,90,169,617,186,431
15-Apr-22,1450,238,304,89,169,650,201,449
22-Apr-22,1490,238,309,90,171,681,215,467
29-Apr-22,1567,253,324,92,176,721,233,489
6-May-22,1643,274,342,96,183,749,241,507
13-May-22,1732,296,364,103,187,781,251,531
